D11X03ESCALATOR	D11	CHEVERLY		Escalator between mezzanine and platform to New Carrollton
D11X04ESCALATOR	D11	CHEVERLY		Escalator between mezzanine and platform to New Carrollton
D11X05ESCALATOR	D11	CHEVERLY		Escalator between mezzanine and platform to Vienna
D11X06ESCALATOR	D11	CHEVERLY		Escalator between mezzanine and platform to Vienna
K02X01ESCALATOR	K02	CLARENDON		Escalator between street and middle landing/tunnel
K02X02ESCALATOR	K02	CLARENDON		Escalator between street and middle landing/tunnel
K02X03ESCALATOR	K02	CLARENDON		Escalator between middle landing/tunnel and mezzanine
K02X04ESCALATOR	K02	CLARENDON		Escalator between middle landing/tunnel and mezzanine
K02X05ESCALATOR	K02	CLARENDON		Escalator between mezzanine and platform to Vienna
K02X06ESCALATOR	K02	CLARENDON		Escalator between mezzanine and platform to Vienna
K02X07ESCALATOR	K02	CLARENDON		Escalator between mezzanine and platform to New Carrollton
K02X08ESCALATOR	K02	CLARENDON		Escalator between mezzanine and platform to New Carrollton
A05X01ESCALATOR	A05	CLEVELAND PARK		Escalator between street and middle landing on east side of Connecticut Ave
A05X02ESCALATOR	A05	CLEVELAND PARK		Escalator between street and middle landing on west side of Connecticut Ave
A05X03ESCALATOR	A05	CLEVELAND PARK		Escalator between mezzanine and middle landing
A05X04ESCALATOR	A05	CLEVELAND PARK		Escalator between mezzanine and middle landing
A05X05ESCALATOR	A05	CLEVELAND PARK		Escalator between mezzanine and middle landing
A05X06ESCALATOR	A05	CLEVELAND PARK		Escalator between mezzanine and platform
E09X01ESCALATOR	E09	COLLEGE PARK-U of MD		Escalator between street and mezzanine on west side of station at Post Office
E09X02ESCALATOR	E09	COLLEGE PARK-U of MD		Escalator between street and mezzanine on east side of station at Kiss & Ride
E09X03ESCALATOR	E09	COLLEGE PARK-U of MD		Escalator between mezzanine and platform
E09X04ESCALATOR	E09	COLLEGE PARK-U of MD		Escalator between mezzanine and platform
E04X01ESCALATOR	E04	COLUMBIA HEIGHTS		Escalator between street and mezzanine, 14th Street Southbound Entrance
E04X02ESCALATOR	E04	COLUMBIA HEIGHTS		Escalator between street and mezzanine, 14th Street Southbound Entrance
E04X03ESCALATOR	E04	COLUMBIA HEIGHTS		Escalator between street and mezzanine, 14th Street Southbound Entrance
E04X04ESCALATOR	E04	COLUMBIA HEIGHTS		Escalator between street and mezzanine, 14th Street Northbound Entrance
E04X05ESCALATOR	E04	COLUMBIA HEIGHTS		Escalator between street and mezzanine, 14th Street Northbound Entrance
E04X06ESCALATOR	E04	COLUMBIA HEIGHTS		Escalator between mezzanine and platform
E04X07ESCALATOR	E04	COLUMBIA HEIGHTS		Escalator between mezzanine and platform
F07X01ESCALATOR	F07	CONGRESS HEIGHTS		Escalator between mezzanine and buses/parking
F07X02ESCALATOR	F07	CONGRESS HEIGHTS		Escalator between mezzanine and buses/parking
F07X03ESCALATOR	F07	CONGRESS HEIGHTS		Escalator between mezzanine and platform
F07X04ESCALATOR	F07	CONGRESS HEIGHTS		Escalator between mezzanine and Alabama Avenue
F07X05ESCALATOR	F07	CONGRESS HEIGHTS		Escalator between mezzanine and Alabama Avenue
F07X06ESCALATOR	F07	CONGRESS HEIGHTS		Escalator between mezzanine and platform
F07X07ESCALATOR	F07	CONGRESS HEIGHTS		Escalator between mezzanine and platform
