Station	Codes	N	1977	1978	1979	1980	1981	1982	1984	1985	1986	1987	1988*	1989*	1990**	1991*	1992	1993*	1994	1995**	1996**	1997**	1998**	1999**	2000**	2001**	2002**	2003**	2004**	2005**	2006**	2007**	2008**	2009**	2010**	2011***	2012***
Farragut West	C03	14	15167	17085	23386	28891	27294	25396	20354	24138	24246	25710	27418	26751	28717	27010	24529	24239	23427	22302	21258	21514	22725	22706	23404	24636	23573	23432	23874	24149	24179	24121	23190	22469	23137	22575	22918
Federal Center	D04	5	2778	3604	4775	5246	4645	4024	4661	4928	5441	5520	5909	5945	6499	6545	5967	6192	6039	5421	4905	4860	5154	5381	5453	4657	4684	4903	4830	5300	5293	5307	6062	5902	5951	6011	6439
Federal Triangle	D01	9	4036	4432	5660	6774	6154	5960	5481	6376	7101	8777	8998	9001	8799	8460	8751	8114	8162	7870	7461	6566	7938	8470	9302	9879	10424	10959	10915	11166	10883	10429	10603	11108	10756	10258	9879
Foggy Bottom-GWU	C04	6	6144	8104	9818	13528	14394	12644	11605	14928	14946	15600	16925	18653	19674	18560	16712	17401	17075	17296	16312	16554	16510	16733	18200	19018	18487	18702	19316	19846	20355	20560	21248	20923	21587	21318	22827
Forest Glen	B09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1788	1849	1834	1890	1898	1854	1868	1850	1790	1860	1930	2023	2025	2089	2082	2170	2302	2409	2514	2366	2365	2448
Fort Totten	B06,E06	6	0	2969	4896	5294	4481	4150	3539	4363	4868	5600	5484	5761	5825	5585	5033	4886	5034	4670	4536	4324	4538	4501	5121	5738	5861	6082	6236	6280	6665	6877	7071	7198	7543	7364	7636
Franconia-Springfield	J03	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5600	6370	7131	8194	8416	8482	9265	9416	9857	9769	9823	9591	9665	9543	9089
Friendship Heights	A08	11	0	0	0	0	0	0	0	5674	7106	7654	7750	8164	8268	8346	8388	8430	8520	8343	8278	8346	8424	8581	9089	9195	9172	9321	9310	9268	9771	9713	10189	9696	9804	9957	9671
Gallery Place-Chinatown	B01,F01	30	2100	2505	3938	4057	4141	3753	5752	6938	6708	6752	6766	8547	7267	8121	7581	7254	7377	7462	6447	6525	10179	9441	10563	12494	13833	15665	16443	19474	20673	21921	25136	25747	25894	25777	26587
Georgia Ave	E05	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2909	3440	3766	4011	4262	4396	4745	4808	5041	5399	5855	6027	6305
Glenmont	B11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	4619	4980	5254	5481	5578	5664	5944	6096	6117	5966	5857	5850	6190
Greenbelt	E10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2486	2948	3062	3844	4538	4857	5786	6482	6788	6911	7150	7005	7305	7331	7432	7397	7294	6923	6940
Grosvenor	A11	4	0	0	0	0	0	0	0	2618	2946	3161	3310	3638	3794	3496	3414	3669	3650	3438	3381	3355	3510	3431	3551	3595	3772	3592	4013	5428	5578	5642	5817	5948	5843	5876	5862
